First Name,Last Name,Team,Position,Height(inches),Weight(pounds),Age
Tim,Hudson,ATL,Starting Pitcher,73,164,31.63
Jonathan,Johnson,ATL,Starting Pitcher,72,180,32.62
Mike,Hampton,ATL,Starting Pitcher,70,195,34.47
John,Smoltz,ATL,Starting Pitcher,75,220,39.79
Willy,Aybar,ATL,Third Baseman,72,175,23.98
Chipper,Jones,ATL,Third Baseman,76,210,34.85
Adam,Donachie,BAL,Catcher,74,180,22.99
Ramon,Hernandez,BAL,Catcher,72,210,30.78
Paul,Bako,BAL,Catcher,74,215,34.69
Jay,Gibbons,BAL,Designated Hitter,72,197,30
Kevin,Millar,BAL,First Baseman,72,210,35.43
Chris,Gomez,BAL,First Baseman,73,188,35.71
Nick,Markakis,BAL,Outfielder,74,185,23.29
Jeff,Fiorentino,BAL,Outfielder,73,188,23.88
Brandon,Fahey,BAL,Outfielder,74,160,26.11
Freddie,Bynum,BAL,Outfielder,73,180,26.96
Adam,Stern,BAL,Outfielder,71,180,27.05
Corey,Patterson,BAL,Outfielder,69,180,27.55
Jay,Payton,BAL,Outfielder,70,185,34.27
James,Hoey,BAL,Relief Pitcher,78,200,24.17
Chris,Ray,BAL,Relief Pitcher,75,200,25.13
Brian,Burres,BAL,Relief Pitcher,73,182,25.89
Kurt,Birkins,BAL,Relief Pitcher,74,188,26.55
Sendy,Rleal,BAL,Relief Pitcher,73,180,26.69
Jeremy,Guthrie,BAL,Relief Pitcher,73,200,27.9
John,Parrish,BAL,Relief Pitcher,71,192,29.26
Danys,Baez,BAL,Relief Pitcher,75,225,29.47
Scott,Williamson,BAL,Relief Pitcher,72,180,31.03
Chad,Bradford,BAL,Relief Pitcher,77,203,32.46
Jamie,Walker,BAL,Relief Pitcher,74,195,35.67
Brian,Roberts,BAL,Second Baseman,69,176,29.39
Miguel,Tejada,BAL,Shortstop,69,209,30.77
Hayden,Penn,BAL,Starting Pitcher,75,185,22.38
Adam,Loewen,BAL,Starting Pitcher,78,219,22.89
Daniel,Cabrera,BAL,Starting Pitcher,79,230,25.76
Erik,Bedard,BAL,Starting Pitcher,73,189,27.99
Jaret,Wright,BAL,Starting Pitcher,74,230,31.17
Kris,Benson,BAL,Starting Pitcher,76,195,32.31
Steve,Trachsel,BAL,Starting Pitcher,76,205,36.33
Aubrey,Huff,BAL,Third Baseman,76,231,30.19
Melvin,Mora,BAL,Third Baseman,71,200,35.07
George,Kottaras,BOS,Catcher,72,180,23.79
Jason,Varitek,BOS,Catcher,74,230,34.89
Doug,Mirabelli,BOS,Catcher,73,220,36.37
David,Ortiz,BOS,Designated Hitter,76,230,31.28
Kevin,Youkilis,BOS,First Baseman,73,220,27.96
Brandon,Moss,BOS,Outfielder,72,180,23.46
Wily,Mo Pena,BOS,Outfielder,75,215,25.1
David,Murphy,BOS,Outfielder,76,192,25.37
Coco,Crisp,BOS,Outfielder,72,185,27.33
Eric,Hinske,BOS,Outfielder,74,235,29.57
J.D.,Drew,BOS,Outfielder,73,200,31.28
Manny,Ramirez,BOS,Outfielder,72,213,34.75
Craig,Hansen,BOS,Relief Pitcher,78,210,23.29
Nick,DeBarr,BOS,Relief Pitcher,76,220,23.52
Manny,Delcarmen,BOS,Relief Pitcher,74,190,25.03
Craig,Breslow,BOS,Relief Pitcher,73,180,26.56
Joel,Pineiro,BOS,Relief Pitcher,73,200,28.43
Javier,Lopez,BOS,Relief Pitcher,76,200,29.64
J.C.,Romero,BOS,Relief Pitcher,71,198,30.74
Hideki,Okajima,BOS,Relief Pitcher,73,194,31.18
Julian,Tavarez,BOS,Relief Pitcher,74,195,33.77
Brendan,Donnelly,BOS,Relief Pitcher,75,240,35.66
Mike,Timlin,BOS,Relief Pitcher,76,210,40.97
Dustin,Pedroia,BOS,Second Baseman,69,180,23.54
Julio,Lugo,BOS,Shortstop,73,170,31.29
Alex,Cora,BOS,Shortstop,72,180,31.37
Jon,Lester,BOS,Starting Pitcher,74,190,23.15
Kason,Gabbard,BOS,Starting Pitcher,75,200,24.9
Jonathan,Papelbon,BOS,Starting Pitcher,76,230,26.27
Josh,Beckett,BOS,Starting Pitcher,77,222,26.79
Devern,Hansack,BOS,Starting Pitcher,74,180,29.07
Kyle,Snyder,BOS,Starting Pitcher,80,220,29.47
Matt,Clement,BOS,Starting Pitcher,75,210,32.55
Curt,Schilling,BOS,Starting Pitcher,77,235,40.29
Tim,Wakefield,BOS,Starting Pitcher,74,210,40.58
Mike,Lowell,BOS,Third Baseman,75,210,33.01
Geovany,Soto,CHC,Catcher,73,195,24.11
Michael,Barrett,CHC,Catcher,75,210,30.35
Henry,Blanco,CHC,Catcher,71,224,35.5
Scott,Moore,CHC,First Baseman,74,180,23.29
Derrek,Lee,CHC,First Baseman,77,245,31.48
Buck,Coats,CHC,Outfielder,75,195,24.73
Matt,Murton,CHC,Outfielder,73,215,25.41
Angel,Pagan,CHC,Outfielder,73,180,25.66
Alfonso,Soriano,CHC,Outfielder,73,180,31.15
Daryle,Ward,CHC,Outfielder,74,230,31.68
Jacque,Jones,CHC,Outfielder,70,195,31.85
Mark,DeRosa,CHC,Outfielder,73,205,32.01
Cliff,Floyd,CHC,Outfielder,76,230,34.23
Neal,Cotts,CHC,Relief Pitcher,74,200,26.93
Roberto,Novoa,CHC,Relief Pitcher,77,200,27.54
Mike,Wuertz,CHC,Relief Pitcher,75,205,28.21
Will,Ohman,CHC,Relief Pitcher,74,205,29.55
Kerry,Wood,CHC,Relief Pitcher,77,225,29.71
Ryan,Dempster,CHC,Relief Pitcher,74,215,29.83
Bob,Howry,CHC,Relief Pitcher,77,220,33.57
Scott,Eyre,CHC,Relief Pitcher,73,210,34.75
Ryan,Theriot,CHC,Second Baseman,71,175,27.23
Ronny,Cedeno,CHC,Shortstop,72,180,24.07
Juan,Mateo,CHC,Starting Pitcher,74,180,24.2
Carlos,Marmol,CHC,Starting Pitcher,74,180,24.38
Sean,Marshall,CHC,Starting Pitcher,79,205,24.5
Angel,Guzman,CHC,Starting Pitcher,75,190,25.21
Carlos,Zambrano,CHC,Starting Pitcher,77,255,25.75
Mark,Prior,CHC,Starting Pitcher,77,230,26.48
Ryan,O'Malley,CHC,Starting Pitcher,73,190,26.89
Rich,Hill,CHC,Starting Pitcher,77,190,26.97
Jason,Marquis,CHC,Starting Pitcher,73,210,28.53
Wade,Miller,CHC,Starting Pitcher,74,220,30.46
Ted,Lilly,CHC,Starting Pitcher,73,190,31.15
Cesar,Izturis,CHC,Third Baseman,69,175,27.05
Aramis,Ramirez,CHC,Third Baseman,73,215,28.68
David,Ross,CIN,Catcher,74,205,29.95
Javier,Valentin,CIN,Catcher,70,192,31.45
Chad,Moeller,CIN,Catcher,75,210,32.03
Joey,Votto,CIN,First Baseman,75,200,23.47
Scott,Hatteberg,CIN,First Baseman,73,210,37.21
Josh,Hamilton,CIN,Outfielder,76,205,25.78
Chris,Denorfia,CIN,Outfielder,73,185,26.63
Adam,Dunn,CIN,Outfielder,78,240,27.31
Norris,Hopper,CIN,Outfielder,69,200,27.94
Bubba,Crosby,CIN,Outfielder,71,185,30.55
Ryan,Freel,CIN,Outfielder,70,180,30.98
Ken,Griffey,CIN,Outfielder,75,205,37.27
Jeff,Conine,CIN,Outfielder,73,220,40.68
Bill,Bray,CIN,Relief Pitcher,75,215,23.74
Bobby,Livingston,CIN,Relief Pitcher,75,190,24.49
Jared,Burton,CIN,Relief Pitcher,77,220,25.74
Todd,Coffey,CIN,Relief Pitcher,77,230,26.47
Matt,Belisle,CIN,Relief Pitcher,75,195,26.73
Gary,Majewski,CIN,Relief Pitcher,73,215,27.01
Brad,Salmon,CIN,Relief Pitcher,76,220,27.16
Brian,Shackelford,CIN,Relief Pitcher,73,195,30.5
David,Weathers,CIN,Relief Pitcher,75,230,37.43
Mike,Stanton,CIN,Relief Pitcher,73,215,39.75
Rheal,Cormier,CIN,Relief Pitcher,70,195,39.85
Brandon,Phillips,CIN,Second Baseman,71,185,25.67
Alex,Gonzalez,CIN,Shortstop,72,202,30.04
Juan,Castro,CIN,Shortstop,71,195,34.69
Elizardo,Ramirez,CIN,Starting Pitcher,72,180,24.09
Kirk,Saarloos,CIN,Starting Pitcher,72,230,27.77
Kyle,Lohse,CIN,Starting Pitcher,74,201,28.41
Aaron,Harang,CIN,Starting Pitcher,79,240,28.81
Bronson,Arroyo,CIN,Starting Pitcher,77,190,30.01
Eric,Milton,CIN,Starting Pitcher,75,208,31.57
Edwin,Encarnacion,CIN,Third Baseman,73,195,24.15
Jeff,Keppinger,CIN,Third Baseman,72,180,26.86
Mark,Bellhorn,CIN,Third Baseman,73,205,32.52
Kelly,Shoppach,CLE,Catcher,73,210,26.84
Victor,Martinez,CLE,Catcher,74,190,28.19
Travis,Hafner,CLE,Designated Hitter,75,240,29.74
Ryan,Garko,CLE,First Baseman,74,225,26.16
Franklin,Gutierrez,CLE,Outfielder,74,175,24.02
Grady,Sizemore,CLE,Outfielder,74,200,24.58
Shin-Soo,Choo,CLE,Outfielder,71,178,24.63
Ben,Francisco,CLE,Outfielder,73,180,25.35
Jason,Michaels,CLE,Outfielder,72,204,30.82
Trot,Nixon,CLE,Outfielder,74,211,32.89
David,Dellucci,CLE,Outfielder,71,190,33.33
Casey,Blake,CLE,Outfielder,74,210,33.52
Edward,Mujica,CLE,Relief Pitcher,74,220,22.81
Fausto,Carmona,CLE,Relief Pitcher,76,220,23.23
Rafael,Perez,CLE,Relief Pitcher,75,185,24.96
Fernando,Cabrera,CLE,Relief Pitcher,76,170,25.29
Brian,Slocum,CLE,Relief Pitcher,76,200,25.93
Tom,Mastny,CLE,Relief Pitcher,78,220,26.07
Juan,Lara,CLE,Relief Pitcher,74,190,26.09
Jason,Davis,CLE,Relief Pitcher,78,210,26.81
Rafael,Betancourt,CLE,Relief Pitcher,74,200,31.84
Aaron,Fultz,CLE,Relief Pitcher,72,205,33.49
Matt,Miller,CLE,Relief Pitcher,75,215,35.27
Joe,Borowski,CLE,Relief Pitcher,74,225,35.82
Roberto,Hernandez,CLE,Relief Pitcher,76,250,42.3
Josh,Barfield,CLE,Second Baseman,72,185,24.2
Hector,Luna,CLE,Second Baseman,73,170,27.08
Joe,Inglett,CLE,Second Baseman,70,180,28.67
Jhonny,Peralta,CLE,Shortstop,73,185,24.76
Jeremy,Sowers,CLE,Starting Pitcher,73,175,23.79
C.C.,Sabathia,CLE,Starting Pitcher,79,290,26.61
Cliff,Lee,CLE,Starting Pitcher,75,190,28.5
Jake,Westbrook,CLE,Starting Pitcher,75,185,29.42
Paul,Byrd,CLE,Starting Pitcher,73,190,36.24
Andy,Marte,CLE,Third Baseman,73,185,23.36
Chris,Iannetta,COL,Catcher,71,195,23.9
Alvin,Colina,COL,Catcher,75,209,25.18
Yorvit,Torrealba,COL,Catcher,71,190,28.62
Javy,Lopez,COL,Designated Hitter,75,224,36.32
Todd,Helton,COL,First Baseman,74,204,33.53
Willy,Taveras,COL,Outfielder,72,160,25.18
Jeff,Baker,COL,Outfielder,74,210,25.69
Jeff,Salazar,COL,Outfielder,72,180,26.26
Matt,Holliday,COL,Outfielder,76,235,27.12
Ryan,Spilborghs,COL,Outfielder,73,190,27.49
Cory,Sullivan,COL,Outfielder,72,180,27.53
Brad,Hawpe,COL,Outfielder,75,200,27.69
Juan,Morillo,COL,Relief Pitcher,73,190,23.32
Manny,Corpas,COL,Relief Pitcher,75,170,24.24
Ramon,Ramirez,COL,Relief Pitcher,71,190,25.5
Ryan,Speier,COL,Relief Pitcher,79,200,27.6
Jeremy,Affeldt,COL,Relief Pitcher,76,215,27.73
Brian,Fuentes,COL,Relief Pitcher,76,220,31.56
LaTroy,Hawkins,COL,Relief Pitcher,77,215,34.19
Tom,Martin,COL,Relief Pitcher,73,206,36.78
Kaz,Matsui,COL,Second Baseman,70,185,31.35
Jamey,Carroll,COL,Second Baseman,69,170,33.03
Troy,Tulowitzki,COL,Shortstop,75,205,22.39
Clint,Barmes,COL,Shortstop,72,175,27.99
Ubaldo,Jimenez,COL,Starting Pitcher,76,200,23.1
Jason,Hirsh,COL,Starting Pitcher,80,250,25.02
Taylor,Buchholz,COL,Starting Pitcher,76,220,25.38
Jeff,Francis,COL,Starting Pitcher,77,200,26.14
Denny,Bautista,COL,Starting Pitcher,77,170,26.52
Aaron,Cook,COL,Starting Pitcher,75,205,28.06
Byung-Hyun,Kim,COL,Starting Pitcher,69,180,28.11
Josh,Fogg,COL,Starting Pitcher,72,203,30.21
Brian,Lawrence,COL,Starting Pitcher,72,197,30.8
Rodrigo,Lopez,COL,Starting Pitcher,73,190,31.21
Garrett,Atkins,COL,Third Baseman,75,210,27.22
A.J.,Pierzynski,CWS,Catcher,75,245,30.17
Toby,Hall,CWS,Catcher,75,240,31.36
Jerry,Owens,CWS,Designated Hitter,75,195,26.03
Jim,Thome,CWS,Designated Hitter,76,244,36.51
Paul,Konerko,CWS,First Baseman,74,215,30.99
Ryan,Sweeney,CWS,Outfielder,76,200,22.02
Brian,N. Anderson,CWS,Outfielder,74,205,24.97
Luis,Terrero,CWS,Outfielder,74,206,26.78
Rob,Mackowiak,CWS,Outfielder,70,195,30.69
Scott,Podsednik,CWS,Outfielder,72,188,30.95
Pablo,Ozuna,CWS,Outfielder,70,186,32.51
Darin,Erstad,CWS,Outfielder,74,210,32.74
Jermaine,Dye,CWS,Outfielder,77,220,33.09
Boone,Logan,CWS,Relief Pitcher,77,200,22.55
Andrew,Sisco,CWS,Relief Pitcher,81,260,24.13
Nick,Masset,CWS,Relief Pitcher,76,190,24.79
David,Aardsma,CWS,Relief Pitcher,77,200,25.17
Bobby,Jenks,CWS,Relief Pitcher,75,270,25.96
Sean,Tracey,CWS,Relief Pitcher,75,210,26.29
Mike,MacDougal,CWS,Relief Pitcher,76,195,29.99
Matt,Thornton,CWS,Relief Pitcher,78,228,30.46
Tadahito,Iguchi,CWS,Second Baseman,69,185,32.24
Juan,Uribe,CWS,Shortstop,71,175,27.61
Alex,Cintron,CWS,Shortstop,74,199,28.2
Charlie,Haeger,CWS,Starting Pitcher,73,200,23.45
Gavin,Floyd,CWS,Starting Pitcher,76,212,24.09
Heath,Phillips,CWS,Starting Pitcher,75,200,24.94
Jon,Garland,CWS,Starting Pitcher,78,210,27.43
Mark,Buehrle,CWS,Starting Pitcher,74,220,27.94
Javier,Vazquez,CWS,Starting Pitcher,74,205,30.6
Jose,Contreras,CWS,Starting Pitcher,76,224,35.23
Josh,Fields,CWS,Third Baseman,73,215,24.21
Joe,Crede,CWS,Third Baseman,73,200,28.85
Vance,Wilson,DET,Catcher,71,190,33.95
Ivan,Rodriguez,DET,Catcher,69,218,35.25
Mike,Rabelo,DET,Designated Hitter,73,200,27.12
Chris,Shelton,DET,First Baseman,72,220,26.68
Sean,Casey,DET,First Baseman,76,225,32.66
Brent,Clevlen,DET,Outfielder,74,190,23.34
Curtis,Granderson,DET,Outfielder,73,185,25.96
Marcus,Thames,DET,Outfielder,74,205,29.98
Craig,Monroe,DET,Outfielder,73,220,30
Magglio,Ordo?ez,DET,Outfielder,72,215,33.09
Gary,Sheffield,DET,Outfielder,72,205,38.28
Andrew,Miller,DET,Relief Pitcher,78,210,21.78
Joel,Zumaya,DET,Relief Pitcher,75,210,22.31
Yorman,Bazardo,DET,Relief Pitcher,74,202,22.64
Edward,Campusano,DET,Relief Pitcher,76,170,24.63
Jordan,Tata,DET,Relief Pitcher,78,220,25.44
Wilfredo,Ledezma,DET,Relief Pitcher,76,212,26.11
Roman,Colon,DET,Relief Pitcher,78,225,27.55
Chad,Durbin,DET,Relief Pitcher,74,200,29.24
Fernando,Rodney,DET,Relief Pitcher,71,208,29.95
Jason,Grilli,DET,Relief Pitcher,77,210,30.3
Todd,Jones,DET,Relief Pitcher,75,230,38.85
Jose,Mesa,DET,Relief Pitcher,75,232,40.77
Omar,Infante,DET,Second Baseman,72,176,25.18
Placido,Polanco,DET,Second Baseman,70,190,31.39
Neifi,Perez,DET,Second Baseman,72,197,33.74
Tony,Giarratano,DET,Shortstop,72,180,24.25
Ramon,Santiago,DET,Shortstop,71,167,27.5
Carlos,Guillen,DET,Shortstop,73,204,31.42
Justin,Verlander,DET,Starting Pitcher,77,200,24.02
Jeremy,Bonderman,DET,Starting Pitcher,74,210,24.34
Virgil,Vasquez,DET,Starting Pitcher,75,205,24.73
Zach,Miner,DET,Starting Pitcher,75,200,24.97
Nate,Robertson,DET,Starting Pitcher,74,215,29.49
Mike,Maroth,DET,Starting Pitcher,72,190,29.54
Kenny,Rogers,DET,Starting Pitcher,73,211,42.3
Brandon,Inge,DET,Third Baseman,71,195,29.78
Miguel,Olivo,FLA,Catcher,72,215,28.63
Matt,Treanor,FLA,Catcher,74,220,30.99
Mike,Jacobs,FLA,First Baseman,74,180,26.33
Jeremy,Hermida,FLA,Outfielder,76,200,23.08
Cody,Ross,FLA,Outfielder,71,180,26.18
Eric,Reed,FLA,Outfielder,71,170,26.24
Reggi,Abercrombie,FLA,Outfielder,75,224,26.63
Josh,Willingham,FLA,Outfielder,73,200,28.03
Joe,Borchard,FLA,Outfielder,77,220,28.26
Alfredo,Amezaga,FLA,Outfielder,70,165,29.12
Jose,Garcia,FLA,Relief Pitcher,71,165,22.14
Yusmeiro,Petit,FLA,Relief Pitcher,72,230,22.27
Taylor,Tankersley,FLA,Relief Pitcher,73,220,23.98
Renyel,Pinto,FLA,Relief Pitcher,76,195,24.65
Logan,Kensing,FLA,Relief Pitcher,73,185,24.66
Carlos,Martinez,FLA,Relief Pitcher,73,170,24.76
Randy,Messenger,FLA,Relief Pitcher,72,220,25.55
Travis,Bowyer,FLA,Relief Pitcher,75,200,25.57
Sergio,Mitre,FLA,Relief Pitcher,76,210,26.03
Matt,Lindstrom,FLA,Relief Pitcher,76,205,27.05
Henry,Owens,FLA,Relief Pitcher,75,230,27.85
Kevin,Gregg,FLA,Relief Pitcher,78,220,28.7
Dan,Uggla,FLA,Second Baseman,71,200,26.97
Robert,Andino,FLA,Shortstop,72,170,22.85
Hanley,Ramirez,FLA,Shortstop,75,195,23.19
Anibal,Sanchez,FLA,Starting Pitcher,72,180,23.01
Josh,Johnson,FLA,Starting Pitcher,79,240,23.08
Scott,Olsen,FLA,Starting Pitcher,76,198,23.13
Ricky,Nolasco,FLA,Starting Pitcher,74,220,24.21
Dontrelle,Willis,FLA,Starting Pitcher,76,239,25.13
Miguel,Cabrera,FLA,Third Baseman,74,210,23.87
Aaron,Boone,FLA,Third Baseman,74,200,33.98
Hector,Gimenez,HOU,Catcher,70,180,24.42
Humberto,Quintero,HOU,Catcher,73,190,27.56
Brad,Ausmus,HOU,Catcher,71,190,37.88
Lance,Berkman,HOU,First Baseman,73,220,31.05
Mike,Lamb,HOU,First Baseman,73,190,31.56
Charlton,Jimerson,HOU,Outfielder,75,210,27.44
Luke,Scott,HOU,Outfielder,72,210,28.68
Jason,Lane,HOU,Outfielder,74,220,30.19
Carlos,Lee,HOU,Outfielder,74,240,30.69
Orlando,Palmeiro,HOU,Outfielder,71,180,38.11
Paul,Estrada,HOU,Relief Pitcher,73,215,24.47
Lincoln,Holdzkom,HOU,Relief Pitcher,76,240,24.94
Miguel,Asencio,HOU,Relief Pitcher,74,190,26.42
Ezequiel,Astacio,HOU,Relief Pitcher,75,156,27.32
Chad,Qualls,HOU,Relief Pitcher,77,220,28.54
Chris,Sampson,HOU,Relief Pitcher,72,170,28.77
Dan,Wheeler,HOU,Relief Pitcher,75,222,29.22
David,Borkowski,HOU,Relief Pitcher,73,200,30.06
Brad,Lidge,HOU,Relief Pitcher,77,210,30.18
Trever,Miller,HOU,Relief Pitcher,75,200,33.75
Chris,Burke,HOU,Second Baseman,71,180,26.97
Brooks,Conrad,HOU,Second Baseman,71,190,27.12
Eric,Bruntlett,HOU,Second Baseman,72,190,28.92
Mark,Loretta,HOU,Second Baseman,72,186,35.55
Craig,Biggio,HOU,Second Baseman,71,185,41.21
Adam,Everett,HOU,Shortstop,72,170,30.06
Matt,Albers,HOU,Starting Pitcher,72,205,24.11
Fernando,Nieve,HOU,Starting Pitcher,72,195,24.63
Wandy,Rodriguez,HOU,Starting Pitcher,71,160,28.11
Jason,Jennings,HOU,Starting Pitcher,74,245,28.62
Brandon,Backe,HOU,Starting Pitcher,72,180,28.9
Roy,Oswalt,HOU,Starting Pitcher,72,185,29.5
Woody,Williams,HOU,Starting Pitcher,72,200,40.53
Morgan,Ensberg,HOU,Third Baseman,74,210,31.51
John,Buck,KC,Catcher,75,210,26.65
Jason,LaRue,KC,Catcher,71,200,32.95
Mike,Sweeney,KC,Designated Hitter,75,225,33.61
Ryan,Shealy,KC,First Baseman,77,240,27.5
Ross,Gload,KC,First Baseman,72,185,30.9
Mitch,Maier,KC,Outfielder,74,210,24.67
Shane,Costa,KC,Outfielder,72,220,25.22
Joey,Gathright,KC,Outfielder,70,170,25.84
David,DeJesus,KC,Outfielder,72,175,27.2
Emil,Brown,KC,Outfielder,74,200,32.17
Reggie,Sanders,KC,Outfielder,73,205,39.25
Joakim,Soria,KC,Relief Pitcher,75,185,22.78
Jimmy,Gobble,KC,Relief Pitcher,75,190,25.62
Ryan,Braun,KC,Relief Pitcher,73,215,26.59
Todd,Wellemeyer,KC,Relief Pitcher,75,205,28.5
David,Riske,KC,Relief Pitcher,74,190,30.35
Joel,Peralta,KC,Relief Pitcher,71,160,30.94
Ken,Ray,KC,Relief Pitcher,74,200,32.26
Joe,Nelson,KC,Relief Pitcher,74,185,32.35
Octavio,Dotel,KC,Relief Pitcher,72,210,33.26
Angel,Sanchez,KC,Second Baseman,74,185,23.44
Esteban,German,KC,Second Baseman,69,165,29.09
Mark,Grudzielanek,KC,Second Baseman,73,190,36.67
Andres,Blanco,KC,Shortstop,70,155,22.89
Angel,Berroa,KC,Shortstop,72,175,29.09
Zack,Greinke,KC,Starting Pitcher,74,200,23.36
Jorge,De La Rosa,KC,Starting Pitcher,73,190,25.9
Brian,Bannister,KC,Starting Pitcher,74,202,26
Neal,Musser,KC,Starting Pitcher,73,215,26.51
Gil,Meche,KC,Starting Pitcher,75,200,28.48
Odalis,Perez,KC,Starting Pitcher,72,150,29.73
Luke,Hudson,KC,Starting Pitcher,75,195,29.83
Scott,Elarton,KC,Starting Pitcher,80,240,31.02
